ZDB-GENE-980526-340	ENSDARG00000017821
ZDB-GENE-020125-5	ENSDARG00000032737
ZDB-GENE-110603-3	ENSDARG00000100620
ZDB-GENE-000616-3	ENSDARG00000008165
ZDB-GENE-070117-293	Not found
ZDB-GENE-070117-2221	Not found
ZDB-GENE-070912-282	ENSDARG00000060165
ZDB-GENE-040426-2495	ENSDARG00000016156
ZDB-GENE-070117-1210	Not found
ZDB-GENE-070117-1272	Not found
ZDB-GENE-070117-631	Not found
ZDB-GENE-070117-1915	Not found
ZDB-GENE-070117-2197	Not found
ZDB-GENE-080102-5	ENSDARG00000075454
ZDB-GENE-070117-1505	Not found
ZDB-GENE-070117-723	Not found
ZDB-GENE-051113-88	ENSDARG00000036869
ZDB-GENE-040426-1521	ENSDARG00000058476
ZDB-GENE-070117-427	Not found
ZDB-GENE-070117-1602	Not found
ZDB-GENE-070117-1042	Not found
ZDB-GENE-070117-1882	Not found
ZDB-GENE-080318-6	Not found
ZDB-GENE-070117-1309	Not found
ZDB-GENE-040912-3	ENSDARG00000036776
ZDB-GENE-070117-1182	Not found
ZDB-GENE-051113-268	ENSDARG00000070929
ZDB-GENE-070117-952	Not found
ZDB-GENE-070117-786	Not found
ZDB-GENE-030131-29	ENSDARG00000039215
ZDB-GENE-040426-2651	ENSDARG00000003655
ZDB-GENE-030131-6722	Not found
ZDB-GENE-030131-6420	ENSDARG00000071551
ZDB-GENE-070117-236	Not found
ZDB-GENE-050522-437	ENSDARG00000006290
ZDB-GENE-070117-708	Not found
ZDB-GENE-070117-2350	Not found
ZDB-GENE-051030-21	ENSDARG00000025891
ZDB-GENE-070410-16	ENSDARG00000098913
ZDB-GENE-060503-710	ENSDARG00000053131
ZDB-GENE-070117-2391	Not found
ZDB-GENE-070117-1164	Not found
ZDB-GENE-070117-1722	Not found
ZDB-GENE-070117-448	Not found
ZDB-GENE-070117-2185	Not found
ZDB-GENE-031006-1	ENSDARG00000025375
ZDB-GENE-070117-1242	Not found
ZDB-GENE-010316-1	Not found
ZDB-GENE-040912-150	ENSDARG00000105045
ZDB-GENE-070117-937	Not found
ZDB-GENE-070117-1378	Not found
ZDB-GENE-060721-2	ENSDARG00000069297
ZDB-GENE-070117-1017	Not found
ZDB-GENE-070117-1771	Not found
ZDB-GENE-081110-1	ENSDARG00000074064
ZDB-GENE-070117-910	Not found
ZDB-GENE-070117-1334	Not found
ZDB-GENE-070117-2269	Not found
ZDB-GENE-070117-1253	Not found
ZDB-GENE-070117-2204	Not found
ZDB-GENE-041001-191	ENSDARG00000024537
ZDB-GENE-081210-2	Not found
ZDB-GENE-070117-1263	Not found
ZDB-GENE-120123-20	Not found
ZDB-GENE-101209-2	Not found
ZDB-GENE-070117-1469	Not found
ZDB-GENE-040426-1282	ENSDARG00000025187
ZDB-GENE-040115-1	ENSDARG00000042041
ZDB-GENE-111207-2	Not found
ZDB-GENE-070117-433	Not found
ZDB-GENE-030131-9260	ENSDARG00000023724
ZDB-GENE-070117-1409	Not found
ZDB-GENE-140123-1	Not found
ZDB-GENE-070117-1876	Not found
ZDB-GENE-020402-4	ENSDARG00000034785
ZDB-GENE-070117-1977	Not found
ZDB-GENE-070912-112	ENSDARG00000010816
ZDB-GENE-040114-1	ENSDARG00000024189
ZDB-GENE-050314-4	ENSDARG00000052402
ZDB-GENE-060707-1	ENSDARG00000037794
ZDB-GENE-980526-426	ENSDARG00000054632
ZDB-GENE-131120-140	ENSDARG00000102142
ZDB-GENE-050913-61	ENSDARG00000103902
ZDB-GENE-070117-2250	Not found
ZDB-GENE-060810-31	ENSDARG00000096594
ZDB-GENE-070117-2464	Not found
ZDB-GENE-070117-964	Not found
ZDB-GENE-070117-1276	Not found
ZDB-GENE-070117-950	Not found
ZDB-GENE-070117-635	Not found
ZDB-GENE-070117-804	Not found
ZDB-GENE-040718-102	ENSDARG00000056511
ZDB-GENE-070117-1951	Not found
ZDB-GENE-070117-1948	Not found
ZDB-GENE-040426-2286	ENSDARG00000041411
ZDB-GENE-070117-319	Not found
ZDB-GENE-070117-1514	Not found
ZDB-GENE-110411-228	ENSDARG00000103683
ZDB-GENE-050513-5	ENSDARG00000034300
ZDB-GENE-070117-1148	Not found
ZDB-GENE-030131-4212	ENSDARG00000009689
ZDB-GENE-030131-9670	ENSDARG00000023299
ZDB-GENE-070117-1511	Not found
ZDB-GENE-070117-825	Not found
ZDB-GENE-070117-1687	Not found
ZDB-GENE-030407-1	ENSDARG00000042845
ZDB-GENE-070117-497	Not found
ZDB-GENE-040113-2	ENSDARG00000034610
ZDB-GENE-050318-2	ENSDARG00000054942
ZDB-GENE-070117-1507	Not found
ZDB-GENE-030912-7	ENSDARG00000061941
ZDB-GENE-140130-2	Not found
ZDB-GENE-030131-8004	Not found
ZDB-GENE-070117-1284	Not found
ZDB-GENE-070117-431	Not found
ZDB-GENE-040720-3	ENSDARG00000017084
ZDB-GENE-070117-1657	ENSDARG00000090664
ZDB-GENE-070117-1501	Not found
ZDB-GENE-070117-1666	Not found
ZDB-GENE-070117-1528	Not found
ZDB-GENE-070117-1217	Not found
ZDB-GENE-070117-989	Not found
ZDB-GENE-070117-1308	Not found
ZDB-GENE-070117-276	Not found
ZDB-GENE-070117-1611	Not found
ZDB-GENE-140122-6	Not found
ZDB-GENE-070117-394	Not found
ZDB-GENE-070117-126	Not found
ZDB-GENE-040426-1678	ENSDARG00000015404
ZDB-GENE-070117-2426	Not found
ZDB-GENE-000411-1	ENSDARG00000040159
ZDB-GENE-030616-61	ENSDARG00000059006
ZDB-GENE-070117-78	Not found
ZDB-GENE-061013-129	ENSDARG00000067913
ZDB-GENE-071205-6	Not found
ZDB-GENE-030131-5486	ENSDARG00000075113
ZDB-GENE-040406-1	ENSDARG00000042707
ZDB-GENE-070117-2393	Not found
ZDB-GENE-070117-144	Not found
ZDB-GENE-040426-1367	ENSDARG00000052746
ZDB-GENE-070117-479	Not found
ZDB-GENE-121227-2	ENSDARG00000042984
ZDB-GENE-070117-395	Not found
ZDB-GENE-070117-1379	Not found
ZDB-GENE-030131-271	ENSDARG00000099959
ZDB-GENE-070117-1969	Not found
ZDB-GENE-980526-488	ENSDARG00000069105
ZDB-GENE-080317-2	Not found
ZDB-GENE-070117-264	Not found
ZDB-GENE-070117-594	Not found
ZDB-GENE-070117-1348	Not found
ZDB-GENE-070117-88	Not found
ZDB-GENE-070117-1215	Not found
ZDB-GENE-070117-1371	Not found
ZDB-GENE-101123-1	Not found
ZDB-GENE-070117-2419	Not found
ZDB-GENE-070117-1829	Not found
ZDB-GENE-070117-1770	Not found
ZDB-GENE-070117-2273	Not found
ZDB-GENE-110107-2	Not found
ZDB-GENE-070117-107	Not found
ZDB-GENE-070117-287	Not found
ZDB-GENE-070117-244	ENSDARG00000005867
ZDB-GENE-020107-2	ENSDARG00000103479
ZDB-GENE-070117-77	Not found
ZDB-GENE-070117-1761	Not found
ZDB-GENE-040622-1	ENSDARG00000016022
ZDB-GENE-070117-65	ENSDARG00000091161
ZDB-GENE-070117-2203	Not found
ZDB-GENE-071107-2	Not found
ZDB-GENE-070117-538	Not found
ZDB-GENE-070117-889	Not found
ZDB-GENE-070117-731	Not found
ZDB-GENE-070117-1478	Not found
ZDB-GENE-070117-1944	Not found
ZDB-GENE-040721-2	ENSDARG00000043710
ZDB-GENE-070117-1229	Not found
ZDB-GENE-070117-206	ENSDARG00000099088
ZDB-GENE-980526-404	ENSDARG00000003411
ZDB-GENE-090211-8	Not found
ZDB-GENE-070117-487	Not found
ZDB-GENE-070117-212	Not found
ZDB-GENE-030131-3684	ENSDARG00000098573
ZDB-GENE-070117-408	Not found
ZDB-GENE-070117-2195	Not found
ZDB-GENE-031118-138	ENSDARG00000075833
ZDB-GENE-040426-2823	ENSDARG00000104230
ZDB-GENE-110208-8	ENSDARG00000059682
ZDB-GENE-041014-28	ENSDARG00000034693
ZDB-GENE-070117-523	Not found
ZDB-GENE-030131-475	ENSDARG00000059337
ZDB-GENE-030131-5742	ENSDARG00000058322
ZDB-GENE-120709-73	ENSDARG00000100236
ZDB-GENE-070117-530	Not found
ZDB-GENE-990715-9	ENSDARG00000042151
ZDB-GENE-070117-2317	Not found
ZDB-GENE-070117-1703	Not found
ZDB-GENE-070117-2465	Not found
ZDB-GENE-040109-5	ENSDARG00000039347
ZDB-GENE-070117-57	Not found
ZDB-GENE-070117-1252	Not found
ZDB-GENE-091117-28	ENSDARG00000077364
ZDB-GENE-070117-2309	Not found
ZDB-GENE-030131-8984	ENSDARG00000062590
ZDB-GENE-140122-19	Not found
ZDB-GENE-991228-4	ENSDARG00000044511
ZDB-GENE-070117-182	Not found
ZDB-GENE-070209-53	ENSDARG00000089434
ZDB-GENE-070117-1524	Not found
ZDB-GENE-030131-1428	ENSDARG00000075793
ZDB-GENE-070117-1950	Not found
ZDB-GENE-070117-1516	Not found
ZDB-GENE-991119-5	ENSDARG00000101076
ZDB-GENE-041014-178	ENSDARG00000042902
ZDB-GENE-001212-7	ENSDARG00000018259
ZDB-GENE-030131-1178	Not found
ZDB-GENE-030131-2538	ENSDARG00000075437
ZDB-GENE-070117-131	Not found
ZDB-GENE-030319-5	ENSDARG00000004455
ZDB-GENE-111103-13	Not found
ZDB-GENE-060825-156	ENSDARG00000075180
ZDB-GENE-040801-36	ENSDARG00000070256
ZDB-GENE-070117-665	Not found
ZDB-GENE-091229-1	ENSDARG00000102211
ZDB-GENE-040426-1241	ENSDARG00000020085
ZDB-GENE-070117-222	Not found
ZDB-GENE-070117-1861	Not found
ZDB-GENE-050419-71	ENSDARG00000068382
ZDB-GENE-070117-1996	Not found
ZDB-GENE-070117-172	Not found
ZDB-GENE-070117-321	Not found
ZDB-GENE-070117-1732	Not found
ZDB-GENE-070117-1456	Not found
ZDB-GENE-070117-920	Not found
ZDB-GENE-070117-816	Not found
ZDB-GENE-070117-1656	Not found
ZDB-GENE-070209-271	ENSDARG00000023237
ZDB-GENE-070117-1581	Not found
ZDB-GENE-030131-9021	ENSDARG00000100562
ZDB-GENE-050523-2	ENSDARG00000003751
ZDB-GENE-080212-3	Not found
ZDB-GENE-000804-1	ENSDARG00000010519
ZDB-GENE-070117-1096	Not found
ZDB-GENE-100210-3	ENSDARG00000094280
ZDB-GENE-070117-1981	Not found
ZDB-GENE-070117-1226	Not found
ZDB-GENE-070117-1887	Not found
ZDB-GENE-070117-1669	Not found
ZDB-GENE-070117-543	Not found
ZDB-GENE-050522-297	ENSDARG00000003235
ZDB-GENE-090609-2	Not found
ZDB-GENE-070117-1434	Not found
ZDB-GENE-030616-358	ENSDARG00000032005
ZDB-GENE-111103-18	Not found
ZDB-GENE-070117-1206	Not found
ZDB-GENE-030131-7105	Not found
ZDB-GENE-040426-2537	ENSDARG00000039022
ZDB-GENE-070117-2302	Not found
ZDB-GENE-111103-30	Not found
ZDB-GENE-051127-49	ENSDARG00000101054
ZDB-GENE-070117-423	Not found
ZDB-GENE-070117-965	Not found
ZDB-GENE-030102-1	ENSDARG00000007918
ZDB-GENE-070117-281	Not found
ZDB-GENE-070117-1945	Not found
ZDB-GENE-100921-4	ENSDARG00000104119
ZDB-GENE-070117-228	Not found
ZDB-GENE-070117-982	Not found
ZDB-GENE-050327-99	ENSDARG00000031817
ZDB-GENE-090416-1	Not found
ZDB-GENE-060929-712	ENSDARG00000063446
ZDB-GENE-070117-807	Not found
ZDB-GENE-020812-3	Not found
ZDB-GENE-070912-212	ENSDARG00000061885
ZDB-GENE-990714-20	ENSDARG00000105088
ZDB-GENE-070117-1738	Not found
ZDB-GENE-070117-1207	Not found
ZDB-GENE-040303-2	ENSDARG00000008953
ZDB-GENE-070117-1806	Not found
ZDB-GENE-060331-137	ENSDARG00000053424
ZDB-GENE-070117-346	Not found
ZDB-GENE-070117-1545	Not found
ZDB-GENE-070306-11	Not found
ZDB-GENE-070117-972	Not found
ZDB-GENE-070117-1240	Not found
ZDB-GENE-070117-1849	Not found
ZDB-GENE-070117-1171	Not found
ZDB-GENE-070117-850	Not found
ZDB-GENE-070117-288	Not found
ZDB-GENE-070427-10	Not found
ZDB-GENE-070117-1496	Not found
ZDB-GENE-040426-744	ENSDARG00000039490
ZDB-GENE-070117-154	Not found
ZDB-GENE-070117-202	Not found
ZDB-GENE-060307-1	ENSDARG00000054374
ZDB-GENE-070117-502	Not found
ZDB-GENE-030131-7023	ENSDARG00000100252
ZDB-GENE-030131-321	ENSDARG00000044811
ZDB-GENE-070117-1697	Not found
ZDB-GENE-070117-2425	Not found
ZDB-GENE-050119-9	ENSDARG00000031737
ZDB-GENE-070117-676	Not found
ZDB-GENE-070117-985	Not found
ZDB-GENE-050419-145	ENSDARG00000063026
ZDB-GENE-070117-2402	Not found
ZDB-GENE-111103-5	Not found
ZDB-GENE-070117-74	Not found
ZDB-GENE-070117-2509	Not found
ZDB-GENE-060503-530	ENSDARG00000005754
ZDB-GENE-070117-1117	Not found
ZDB-GENE-140130-3	Not found
ZDB-GENE-070117-951	Not found
ZDB-GENE-070117-44	Not found
ZDB-GENE-040704-3	ENSDARG00000031954
ZDB-GENE-990415-183	ENSDARG00000052094
ZDB-GENE-070117-1709	Not found
ZDB-GENE-090304-1	ENSDARG00000091539
ZDB-GENE-030131-695	ENSDARG00000024694
ZDB-GENE-070117-360	Not found
ZDB-GENE-070117-60	Not found
ZDB-GENE-070117-1812	Not found
ZDB-GENE-070117-2347	Not found
ZDB-GENE-070117-234	Not found
ZDB-GENE-070117-1580	Not found
ZDB-GENE-070117-1172	Not found
ZDB-GENE-040426-2323	ENSDARG00000016163
ZDB-GENE-070117-2374	Not found
ZDB-GENE-070117-1268	Not found
ZDB-GENE-030131-4343	ENSDARG00000015128
ZDB-GENE-030131-5566	ENSDARG00000058461
ZDB-GENE-040426-2904	ENSDARG00000020607
ZDB-GENE-050119-6	ENSDARG00000078864
ZDB-GENE-070117-2211	Not found
ZDB-GENE-070117-1779	Not found
ZDB-GENE-070117-1008	Not found
ZDB-GENE-081210-8	Not found
ZDB-GENE-040618-2	ENSDARG00000009640
ZDB-GENE-070117-1357	Not found
ZDB-GENE-070117-1030	Not found
ZDB-GENE-050417-423	ENSDARG00000087196
ZDB-GENE-070117-1454	Not found
ZDB-GENE-070117-1143	Not found
ZDB-GENE-070117-1174	Not found
ZDB-GENE-060929-268	ENSDARG00000071004
ZDB-GENE-041008-1	ENSDARG00000098783
ZDB-GENE-070117-1523	Not found
ZDB-GENE-040822-24	ENSDARG00000044588
ZDB-GENE-070117-746	Not found
ZDB-GENE-040426-895	ENSDARG00000036005
ZDB-GENE-070117-1978	Not found
ZDB-GENE-120123-13	Not found
ZDB-GENE-100922-259	ENSDARG00000087074
ZDB-GENE-101209-1	Not found
ZDB-GENE-050201-2	ENSDARG00000044362
ZDB-GENE-090730-1	Not found
ZDB-GENE-070117-1618	Not found
ZDB-GENE-070117-2429	Not found
ZDB-GENE-041010-68	ENSDARG00000044781
ZDB-GENE-070117-2254	Not found
ZDB-GENE-070117-1196	Not found
ZDB-GENE-070117-149	Not found
ZDB-GENE-040901-2	ENSDARG00000070971
ZDB-GENE-021115-4	ENSDARG00000061328
ZDB-GENE-040801-148	ENSDARG00000055635
ZDB-GENE-030131-561	ENSDARG00000034013
ZDB-GENE-070117-1346	Not found
ZDB-GENE-980526-41	ENSDARG00000038867
ZDB-GENE-070117-1104	Not found
ZDB-GENE-070117-673	Not found
ZDB-GENE-070117-1115	Not found
ZDB-GENE-040426-1922	ENSDARG00000017445
ZDB-GENE-991109-25	ENSDARG00000045677
ZDB-GENE-070117-480	Not found
ZDB-GENE-060526-181	ENSDARG00000058389
ZDB-GENE-070117-193	Not found
ZDB-GENE-080418-1	ENSDARG00000100555
ZDB-GENE-070117-2293	Not found
ZDB-GENE-070117-1118	Not found
ZDB-GENE-070117-2237	Not found
ZDB-GENE-070117-1518	Not found
ZDB-GENE-070228-3	ENSDARG00000023722
ZDB-GENE-050417-343	ENSDARG00000052696
ZDB-GENE-070117-1883	Not found
ZDB-GENE-030131-4022	ENSDARG00000039196
ZDB-GENE-070117-1532	Not found
ZDB-GENE-070117-771	Not found
ZDB-GENE-070117-1844	Not found
ZDB-GENE-070117-159	Not found
ZDB-GENE-070117-874	Not found
ZDB-GENE-140122-18	Not found
ZDB-GENE-070117-62	Not found
ZDB-GENE-021011-2	ENSDARG00000068177
ZDB-GENE-070117-1350	Not found
ZDB-GENE-070117-785	Not found
ZDB-GENE-070117-974	Not found
ZDB-GENE-070117-268	Not found
ZDB-GENE-090203-1	Not found
ZDB-GENE-081022-183	ENSDARG00000100322
ZDB-GENE-070117-979	Not found
ZDB-GENE-070117-1396	Not found
ZDB-GENE-070117-2104	Not found
ZDB-GENE-030616-609	ENSDARG00000044153
ZDB-GENE-081210-6	Not found
ZDB-GENE-070117-815	Not found
ZDB-GENE-070117-1603	Not found
ZDB-GENE-070117-1929	Not found
ZDB-GENE-050522-38	ENSDARG00000077643
ZDB-GENE-070117-652	Not found
ZDB-GENE-030131-5919	ENSDARG00000100971
ZDB-GENE-070117-1311	Not found
ZDB-GENE-070117-2209	Not found
ZDB-GENE-070117-2189	Not found
ZDB-GENE-070117-1534	Not found
ZDB-GENE-040625-6	ENSDARG00000053619
ZDB-GENE-070117-1781	Not found
ZDB-GENE-050208-777	ENSDARG00000061738
ZDB-GENE-070117-1548	Not found
ZDB-GENE-030131-6583	ENSDARG00000013078
ZDB-GENE-030131-5415	ENSDARG00000074849
ZDB-GENE-070117-870	Not found
ZDB-GENE-070117-2085	Not found
ZDB-GENE-070117-1843	Not found
ZDB-GENE-050208-660	ENSDARG00000042803
ZDB-GENE-070117-2403	Not found
ZDB-GENE-070117-61	Not found
ZDB-GENE-070117-1077	Not found
ZDB-GENE-070117-393	Not found
ZDB-GENE-060825-69	ENSDARG00000009693
ZDB-GENE-070117-2236	Not found
ZDB-GENE-040912-117	ENSDARG00000004307
ZDB-GENE-031219-1	ENSDARG00000056653
ZDB-GENE-070117-1517	Not found
ZDB-GENE-070117-1555	Not found
ZDB-GENE-031001-11	ENSDARG00000103846
ZDB-GENE-021028-1	ENSDARG00000014329
ZDB-GENE-070117-559	Not found
ZDB-GENE-070117-1701	Not found
ZDB-GENE-040830-1	ENSDARG00000003749
ZDB-GENE-070117-593	Not found
ZDB-GENE-070117-2028	Not found
ZDB-GENE-070117-2377	Not found
ZDB-GENE-070117-426	Not found
ZDB-GENE-110603-1	Not found
ZDB-GENE-051120-114	ENSDARG00000059398
ZDB-GENE-070117-97	Not found
ZDB-GENE-070117-1758	Not found
ZDB-GENE-070117-1365	Not found
ZDB-GENE-070117-2394	Not found
ZDB-GENE-990415-200	ENSDARG00000103379
ZDB-GENE-070117-1127	Not found
ZDB-GENE-070117-1105	Not found
ZDB-GENE-030912-6	ENSDARG00000061095
ZDB-GENE-081022-128	ENSDARG00000076379
ZDB-GENE-070117-2226	Not found
ZDB-GENE-070117-1320	Not found
ZDB-GENE-070117-1826	Not found
ZDB-GENE-070117-95	Not found
ZDB-GENE-040728-3	ENSDARG00000038976
ZDB-GENE-070117-103	Not found
ZDB-GENE-070117-1400	Not found
ZDB-GENE-070117-1305	Not found
ZDB-GENE-070117-461	Not found
ZDB-GENE-000210-31	ENSDARG00000099483
ZDB-GENE-070117-1605	Not found
ZDB-GENE-080317-4	Not found
ZDB-GENE-040426-2932	ENSDARG00000018022
ZDB-GENE-030131-3165	ENSDARG00000059746
ZDB-GENE-070117-518	Not found
ZDB-GENE-030131-2022	ENSDARG00000035860
ZDB-GENE-041212-84	ENSDARG00000003867
ZDB-GENE-070117-263	Not found
ZDB-GENE-050601-2	ENSDARG00000013598
ZDB-GENE-070117-1739	Not found
ZDB-GENE-070117-1024	Not found
ZDB-GENE-070117-1692	Not found
ZDB-GENE-070117-1801	Not found
ZDB-GENE-070117-1119	Not found
ZDB-GENE-040426-1649	ENSDARG00000102393
ZDB-GENE-080317-5	Not found
ZDB-GENE-980526-167	ENSDARG00000026599
ZDB-GENE-120123-21	Not found
ZDB-GENE-120229-1	Not found
ZDB-GENE-070117-1686	Not found
ZDB-GENE-080317-1	Not found
ZDB-GENE-110517-1	ENSDARG00000102483
ZDB-GENE-070122-3	ENSDARG00000055825
ZDB-GENE-070117-1888	Not found
ZDB-GENE-070117-1878	Not found
ZDB-GENE-070117-2119	Not found
ZDB-GENE-070117-187	Not found
ZDB-GENE-070117-1462	Not found
ZDB-GENE-060130-56	ENSDARG00000061543
ZDB-GENE-060526-328	ENSDARG00000059855
ZDB-GENE-070117-1735	Not found
ZDB-GENE-140123-9	Not found
ZDB-GENE-070117-199	Not found
ZDB-GENE-030131-2341	ENSDARG00000099431
ZDB-GENE-040310-4	ENSDARG00000052012
ZDB-GENE-070117-2406	Not found
ZDB-GENE-070117-1052	Not found
ZDB-GENE-070117-96	Not found
ZDB-GENE-070117-902	Not found
ZDB-GENE-000328-5	ENSDARG00000092809
ZDB-GENE-110215-2	ENSDARG00000024560
ZDB-GENE-121214-192	ENSDARG00000086117
ZDB-GENE-120123-15	Not found
ZDB-GENE-030131-9790	ENSDARG00000074749
ZDB-GENE-070117-1314	Not found
ZDB-GENE-070117-177	Not found
ZDB-GENE-070117-1837	Not found
ZDB-GENE-070117-862	Not found
ZDB-GENE-070117-1436	Not found
ZDB-GENE-070117-1941	Not found
ZDB-GENE-070117-1895	Not found
ZDB-GENE-120123-11	Not found
ZDB-GENE-070117-1412	Not found
ZDB-GENE-070117-1423	Not found
ZDB-GENE-040426-1662	ENSDARG00000012504
ZDB-GENE-070117-1833	Not found
ZDB-GENE-050913-1	ENSDARG00000091760
ZDB-GENE-040426-712	ENSDARG00000015254
ZDB-GENE-070117-1954	Not found
ZDB-GENE-070117-1472	Not found
ZDB-GENE-050411-37	ENSDARG00000087457
ZDB-GENE-040401-2	ENSDARG00000052734
ZDB-GENE-070117-2081	Not found
ZDB-GENE-070427-5	Not found
ZDB-GENE-040927-11	ENSDARG00000014746
ZDB-GENE-070117-928	Not found
ZDB-GENE-060825-351	ENSDARG00000067797
ZDB-GENE-100215-1	ENSDARG00000098242
ZDB-GENE-070117-575	Not found
ZDB-GENE-060322-9	ENSDARG00000021195
ZDB-GENE-070117-1429	Not found
ZDB-GENE-070117-163	Not found
ZDB-GENE-070117-1846	Not found
ZDB-GENE-140124-1	Not found
ZDB-GENE-040426-1512	ENSDARG00000034817
ZDB-GENE-021206-1	ENSDARG00000056160
ZDB-GENE-070117-36	Not found
ZDB-GENE-070117-587	Not found
ZDB-GENE-070117-1856	Not found
ZDB-GENE-070117-1457	Not found
ZDB-GENE-070117-2401	Not found
ZDB-GENE-070117-1430	Not found
ZDB-GENE-070117-1460	Not found
ZDB-GENE-070117-1847	Not found
ZDB-GENE-111103-23	Not found
ZDB-GENE-080317-3	Not found
ZDB-GENE-070117-1345	Not found
ZDB-GENE-070117-1450	Not found
ZDB-GENE-990415-168	ENSDARG00000022531
ZDB-GENE-070117-1502	Not found
ZDB-GENE-070117-1995	Not found
ZDB-GENE-030131-9847	ENSDARG00000041022
ZDB-GENE-140122-28	Not found
ZDB-GENE-070117-942	Not found
ZDB-GENE-070117-1623	Not found
ZDB-GENE-070117-707	Not found
ZDB-GENE-070117-1746	Not found
ZDB-GENE-050131-1	Not found
ZDB-GENE-070117-941	Not found
ZDB-GENE-070117-1031	Not found
ZDB-GENE-080925-4	Not found
ZDB-GENE-070117-1750	Not found
ZDB-GENE-070117-1225	Not found
ZDB-GENE-070117-1261	Not found
ZDB-GENE-030131-6896	ENSDARG00000017315
ZDB-GENE-040426-2872	ENSDARG00000017841
ZDB-GENE-070117-1863	Not found
ZDB-GENE-070117-251	Not found
ZDB-GENE-070117-1920	Not found
ZDB-GENE-000607-1	ENSDARG00000089805
ZDB-GENE-030131-7038	ENSDARG00000078308
ZDB-GENE-101102-9	ENSDARG00000052082
ZDB-GENE-150701-4	Not found
ZDB-GENE-040801-89	ENSDARG00000035909
ZDB-GENE-070117-970	Not found
ZDB-GENE-030131-9505	ENSDARG00000013855
ZDB-GENE-070117-1789	Not found
ZDB-GENE-070117-1670	Not found
ZDB-GENE-030909-14	ENSDARG00000012025
ZDB-GENE-070117-1373	Not found
ZDB-GENE-070427-6	Not found
ZDB-GENE-060503-63	ENSDARG00000104552
ZDB-GENE-150723-13	Not found
ZDB-GENE-070117-1486	Not found
ZDB-GENE-070117-1894	Not found
ZDB-GENE-070306-3	Not found
ZDB-GENE-021220-6	ENSDARG00000019300
ZDB-GENE-030910-1	ENSDARG00000014858
ZDB-GENE-070117-1340	Not found
ZDB-GENE-070117-362	Not found
ZDB-GENE-070117-2132	Not found
ZDB-GENE-070117-226	Not found
ZDB-GENE-030131-1229	ENSDARG00000045180
ZDB-GENE-070117-1762	Not found
ZDB-GENE-070117-1663	Not found
ZDB-GENE-050419-65	ENSDARG00000005942
ZDB-GENE-070117-1708	Not found
ZDB-GENE-070117-2011	Not found
ZDB-GENE-070117-600	Not found
ZDB-GENE-070117-805	Not found
ZDB-GENE-070117-1721	Not found
ZDB-GENE-050116-1	ENSDARG00000023058
ZDB-GENE-070117-299	Not found
ZDB-GENE-070117-1212	Not found
ZDB-GENE-040426-983	ENSDARG00000099274
ZDB-GENE-070117-1059	Not found
ZDB-GENE-150723-15	Not found
ZDB-GENE-070117-1492	Not found
ZDB-GENE-041001-208	ENSDARG00000008029
ZDB-GENE-070117-1461	Not found
ZDB-GENE-040426-2922	ENSDARG00000053979
ZDB-GENE-070117-1749	Not found
ZDB-GENE-070117-1367	Not found
ZDB-GENE-070117-1185	Not found
ZDB-GENE-070117-311	Not found
ZDB-GENE-070117-1328	Not found
ZDB-GENE-071205-2	Not found
ZDB-GENE-070117-476	Not found
ZDB-GENE-070117-1813	Not found
ZDB-GENE-070117-1238	Not found
ZDB-GENE-070117-1759	Not found
ZDB-GENE-070117-527	Not found
ZDB-GENE-030131-5509	ENSDARG00000059362
ZDB-GENE-070117-209	Not found
ZDB-GENE-120125-2	Not found
ZDB-GENE-070117-1085	Not found
ZDB-GENE-980526-39	ENSDARG00000011166
ZDB-GENE-070117-1786	Not found
ZDB-GENE-080103-2	ENSDARG00000016570
ZDB-GENE-070117-1775	Not found
ZDB-GENE-070117-513	Not found
ZDB-GENE-090211-10	Not found
ZDB-GENE-070117-125	Not found
ZDB-GENE-070117-1889	Not found
ZDB-GENE-070117-1858	Not found
ZDB-GENE-070117-1923	Not found
ZDB-GENE-040426-2854	ENSDARG00000013457
ZDB-GENE-070117-2397	Not found
ZDB-GENE-980526-284	ENSDARG00000056783
ZDB-GENE-031118-55	ENSDARG00000091232
ZDB-GENE-090706-1	Not found
ZDB-GENE-111103-12	Not found
ZDB-GENE-070117-525	Not found
ZDB-GENE-041114-92	ENSDARG00000057317
ZDB-GENE-000210-33	ENSDARG00000099420
ZDB-GENE-030707-3	ENSDARG00000013335
ZDB-GENE-070117-1441	Not found
ZDB-GENE-070117-83	Not found
ZDB-GENE-070117-1383	Not found
ZDB-GENE-070117-1717	Not found
ZDB-GENE-070117-1660	Not found
ZDB-GENE-110606-6	ENSDARG00000061268
ZDB-GENE-070705-462	ENSDARG00000042308
ZDB-GENE-070117-1445	Not found
ZDB-GENE-060422-1	ENSDARG00000027279
ZDB-GENE-070117-958	Not found
ZDB-GENE-070117-1318	Not found
ZDB-GENE-070117-1375	Not found
ZDB-GENE-070117-1921	Not found
ZDB-GENE-040426-1752	ENSDARG00000017880
ZDB-GENE-070117-1289	Not found
ZDB-GENE-070117-720	Not found
ZDB-GENE-070117-817	Not found
ZDB-GENE-041203-2	ENSDARG00000005453
ZDB-GENE-140123-6	Not found
ZDB-GENE-011109-2	ENSDARG00000040432
ZDB-GENE-070117-1018	Not found
ZDB-GENE-070117-1480	Not found
ZDB-GENE-070117-1455	Not found
